you have	יש לכם	verb, (plm)
you have	יש לכן	verb, (plf)
they have	יש להם	verb, (plm)
they have	יש להן	verb, (plf)
I do not have	אין לי	verb
you do not have	אין לך	verb, (m)
you do not have	אין לך	verb, (f)
he does not have 	אין לו	verb, (m)
she does not have	אין לה	verb, (f)
we do not have	אין לנו	verb
you do not have	אין לכם	verb, (plm)
you do not have	אין לכן	verb, (plf)
they do not have	אין להם	verb, (plm)
they do not have	אין להן	verb, (plf)
I don't have	אין לי	verb
you do'nt have	אין לך	verb, (m)
you do'nt have	אין לך	verb, (f)
he doesn't have 	אין לו	verb, (m)
she doesn't have	אין לה	verb, (f)
we don't have	אין לנו	verb
you don't have	אין לכם	verb, (plm)
you don't have	אין לכן	verb, (plf)
they don't have	אין להם	verb, (plm)
they don't have	אין להן	verb, (plf)
